0	99999	99999	861	99999	211	99999	99999	99999	586	99999	753	382	896	99999	99999	99999	99999	99999	99999
99999	0	423	617	365	99999	99999	99999	99999	357	99999	99999	806	99999	99999	99999	99999	99999	99999	99999
99999	423	0	554	359	99999	99999	99999	99999	306	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
861	617	554	0	99999	99999	99999	99999	99999	656	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
99999	365	359	99999	0	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
211	99999	99999	99999	99999	0	988	99999	293	102	99999	870	399	99999	99999	99999	99999	99999	99999	99999
99999	99999	99999	99999	99999	988	0	228	43	99999	573	663	99999	99999	99999	99999	99999	99999	99999	99999
99999	99999	99999	99999	99999	99999	288	0	801	99999	31	99999	99999	99999	99999	99999	99999	99999	99999	99999
99999	99999	99999	99999	99999	293	43	801	0	724	927	936	99999	99999	696	99999	99999	99999	99999	99999
586	357	306	656	99999	102	99999	99999	724	0	99999	736	672	804	99999	99999	99999	99999	99999	99999
99999	99999	99999	99999	99999	99999	573	31	927	99999	0	634	99999	99999	927	99999	99999	99999	99999	99999
753	99999	99999	99999	99999	870	663	99999	936	736	634	0	844	71	798	99999	713	99999	99999	99999
382	806	99999	99999	99999	399	99999	99999	99999	672	99999	844	0	21	99999	299	99999	99999	99999	99999
896	99999	99999	99999	99999	99999	99999	99999	99999	804	99999	711	21	0	244	447	726	99999	99999	99999
99999	99999	99999	99999	99999	99999	99999	99999	696	99999	927	798	99999	244	0	99999	387	99999	99999	99999
99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	299	447	99999	0	503	113	431	99999
99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	713	99999	726	387	503	0	916	490	99999
99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	113	916	0	980	326
99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	431	490	980	0	455
99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	326	455	0
